总挂牌房源,中介挂牌房源,个人挂牌房源,昨日住宅成交量,日期,周几
152450,147765,4685,405,2024-12-10,周二
152458,147795,4663,435.0,2024-12-09,周一
151798,147264,4534,,2024-12-08,周日
152068,147516,4552,212.0,2024-12-07,周六
152068,147516,4552,212.0,2024-12-07,周六
152414,147830,4584,577.0,2024-12-06,周五
152630,148006,4624,415.0,2024-12-05,周四
152713,148079,4634,485.0,2024-12-04,周三
152745,148099,4646,593.0,2024-12-03,周二
152653,147990,4663,950.0,2024-12-02,周一
152875,148157,4718,,2024-12-01,周日
152097,147517,4580,97.0,2024-11-30,周六
152732,148081,4651,341.0,2024-11-29,周五
152753,148098,4655,283.0,2024-11-28,周四
152615,147992,4623,328.0,2024-11-27,周三
152681,148064,4617,232.0,2024-11-26,周二
152441,147854,4587,294.0,2024-11-25,周一
152636,148022,4614,0.0,2024-11-24,周日
152080,147645,4435,110.0,2024-11-23,周六
152200,147746,4454,362.0,2024-11-22,周五
152087,147693,4394,264.0,2024-11-21,周四
151990,147585,4405,252.0,2024-11-20,周三
151882,147425,4457,269.0,2024-11-19,周二
152029,147557,4472,279.0,2024-11-18,周一
151008,146674,4334,0.0,2024-11-17,周日
151356,146992,4364,108.0,2024-11-16,周六
151572,147174,4398,389.0,2024-11-15,周五
151716,147298,4418,300.0,2024-11-14,周四
151391,147027,4364,329.0,2024-11-13,周三
151280,146919,4361,320.0,2024-11-12,周二
151122,146793,4329,345.0,2024-11-11,周一
150181,145931,4250,0.0,2024-11-10,周日
150274,146027,4247,143.0,2024-11-09,周六
150398,146120,4278,465.0,2024-11-08,周五
150403,146104,4299,312.0,2024-11-07,周四
150419,146073,4346,352.0,2024-11-06,周三
150296,145941,4355,345.0,2024-11-04,周一
150378,146000,4378,328.0,2024-10-29,周二
